有野郵便局,神戸市北区藤原台北町６ー１９
神戸山田郵便局,神戸市北区松が枝町２ー１ー２
神戸北郵便局,神戸市北区北五葉２-１-１５
須磨北郵便局,神戸市須磨区西落合１-１-１０
須磨郵便局,神戸市須磨区鷹取町２ー１ー１
垂水郵便局,神戸市垂水区星陵台１-４-２９
神戸中央郵便局,神戸市中央区栄町通６-２-１
長田郵便局,神戸市長田区細田町７ー１ー１
灘郵便局,神戸市灘区大石東町３ー２ー８
神戸西郵便局,神戸市西区糀台５ー１２ー１
東灘郵便局,神戸市東灘区住吉東町２-２-１７
兵庫郵便局,神戸市兵庫区大開通２-２-１９
